station_id,station_name,location,twd67_lat,twd67_lon,wgs84_lat,wgs84_lon,distance_km,temperature
467290,古坑,雲林縣古坑鄉,23.635401,120.543769,23.633639,120.551889,0.8500556362586046,17.0
C2K630,荷苞,雲林縣古坑鄉,23.65948,120.587023,23.657717,120.595144,0.8500322856957263,16.2
C2R970,屏科大,屏東縣內埔鄉,22.65006,120.611193,22.648275,120.619247,0.8499968533083146,20.6
CAG070,西濱S173K,彰化縣鹿港鎮,24.109847,120.426423,24.1081,120.434576,0.849987778796955,17.0
C2M9B0,西興,嘉義縣大埔鄉,23.244571,120.568077,23.2428,120.57617,0.8499865578660134,18.7
CAL050,國三N279K,嘉義縣大林鎮,23.597872,120.515216,23.596111,120.523333,0.8499630870453577,16.7
C2RA10,大新,屏東縣內埔鄉,22.677362,120.569824,22.67558,120.57788,0.849958657905277,20.2
C2V920,匏子寮,高雄市甲仙區,23.050824,120.54511,23.04905,120.55319,0.8499336240748967,19.9
C2G9C0,埔南,彰化縣埔鹽鄉,23.992991,120.461546,23.99124,120.46969,0.8499330708898691,17.1
CAM900,國三S290K,嘉義縣竹崎鄉,23.505867,120.482631,23.504106,120.490742,0.8499312596934318,17.3
C2V260,月眉,高雄市杉林區,22.972778,120.531778,22.971003,120.539853,0.8499268788657358,18.9
C2G980,田頭村,彰化縣竹塘鄉,23.828053,120.436042,23.8263,120.444175,0.8499233736212537,16.9
CAL070,國三N295K,嘉義市東區,23.470361,120.491261,23.468598,120.499369,0.8499015345118648,16.3
G2M350,溪口農場,嘉義縣溪口鄉,23.587406,120.399994,23.58565,120.408111,0.8498993768864366,17.4
C2M9E0,旺來山,嘉義縣民雄鄉,23.556913,120.478349,23.555153,120.486463,0.8498910394146162,16.7
C2M910,嘉義大學,嘉義市東區,23.473087,120.477795,23.471325,120.485903,0.8498592663884529,17.5
C2V310,美濃,高雄市美濃區,22.900567,120.511,22.898792,120.51907,0.8498576664722978,20.1
C2G9E0,移民庄,彰化縣二林鎮,23.980148,120.394687,23.9784,120.40283,0.8498381295253524,17.3
C2N180,鹿陶洋,臺南市楠西區,23.145019,120.475434,23.14325,120.48352,0.8498378570217815,18.4
